ts,agent_id,throttle,steer,brake
3041026,0,0.0,0.0061297062784433365,1.0
3041027,0,0.0,0.006116876844316721,1.0
3041028,0,0.0,0.006511030253022909,1.0
3041029,0,0.0,0.0063803913071751595,1.0
3041030,0,0.0,0.006372567731887102,1.0
3041031,0,0.0,0.006866720505058765,1.0
3041032,0,0.0,0.006648228503763676,1.0
3041033,0,0.0,0.0064428504556417465,1.0
3041034,0,0.0,0.006832769140601158,1.0
3041035,0,0.0,0.00667576864361763,1.0
3041036,0,0.0,0.006376493722200394,1.0
3041037,0,0.0,0.006635390687733889,1.0
3041038,0,0.0,0.007228451780974865,1.0
3041039,0,0.0,0.00680135702714324,1.0
3041040,0,0.0,0.006698303855955601,1.0
3041041,0,0.0,0.007085702382028103,1.0
3041042,0,0.0,0.0065896399319171906,1.0
3041043,0,0.0,0.0061003463342785835,1.0
3041044,0,0.0,0.006150441709905863,1.0
3041045,0,0.0,0.006151373498141766,1.0
3041046,0,0.0,0.0059791929088532925,1.0
3041047,0,0.0,0.005380027461796999,1.0
3041048,0,0.0,0.004988879896700382,1.0
3041049,0,0.0,0.005038836970925331,1.0
3041050,0,0.0,0.005295615177601576,1.0
3041051,0,0.0,0.0066995988599956036,1.0
3041052,0,0.0,0.0074135358445346355,1.0
3041053,0,0.0,0.00937135424464941,1.0
3041054,0,0.0,0.010578807443380356,1.0
3041055,0,0.0,0.012931357137858868,1.0
3041056,0,0.0,0.014272875152528286,1.0
3041057,0,0.0,0.01566656120121479,1.0
3041058,0,0.0,0.016401220113039017,1.0
3041059,0,0.0,0.017460789531469345,1.0
3041060,0,0.0,0.017317557707428932,1.0
3041061,0,0.0,0.015490780584514141,1.0
3041062,0,0.0,0.014759055338799953,1.0
3041063,0,0.0,0.015137997455894947,1.0
3041064,0,0.0,0.016495991498231888,1.0
3041065,0,0.0,0.018320677801966667,1.0
3041066,0,0.0,0.019547516480088234,1.0
3041067,0,0.0,0.021671148017048836,1.0
3041068,0,0.0,0.022588862106204033,1.0
3041069,0,0.0,0.022925257682800293,1.0
3041070,0,0.0,0.02281821519136429,1.0
